,tconst,merge_id,release_date,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross
151,tt1243957,2010 The Tourist,2010,"Action,Adventure,Thriller",6.0,206714,100000000.0,67631157.0,278731369.0
152,tt0840361,2010 The Town,2010,"Crime,Drama,Thriller",7.6,322524,37000000.0,92186262.0,152566881.0
153,tt1325004,2010 The Twilight Saga: Eclipse,2010,"Adventure,Drama,Fantasy",5.0,211733,68000000.0,300531751.0,706102828.0
154,tt1695994,2010 The Virginity Hit,2010,Comedy,4.6,3696,2000000.0,636706.0,636706.0
155,tt1032751,2010 The Warrior's Way,2010,"Action,Fantasy,Western",6.3,24271,42000000.0,5666340.0,8514325.0
156,tt0780653,2010 The Wolfman,2010,"Drama,Fantasy,Horror",5.8,97873,150000000.0,62189884.0,142634358.0
157,tt1570989,2010 Tiny Furniture,2010,"Comedy,Drama,Romance",6.2,13397,50000.0,391674.0,424149.0
158,tt0808510,2010 Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,37939,48000000.0,60022256.0,112610386.0
159,tt0435761,2010 Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,682218,200000000.0,415004880.0,1068879522.0
160,tt1403865,2010 True Grit,2010,"Adventure,Drama,Western",7.6,284034,35000000.0,171243005.0,252276928.0
161,tt0477080,2010 Unstoppable,2010,"Action,Thriller",6.8,173019,95000000.0,81562942.0,165720921.0
162,tt0817230,2010 Valentine's Day,2010,"Comedy,Romance",5.7,107171,52000000.0,110485654.0,217569328.0
163,tt1666186,2010 Vampires Suck,2010,Comedy,3.4,43984,20000000.0,36661504.0,81424988.0
164,tt1183923,2010 Welcome to the Rileys,2010,Drama,7.0,22210,10000000.0,152857.0,355919.0
165,tt1391137,2010 Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",4.6,8653,20000000.0,60095852.0,60831067.0
166,tt1235189,2010 Wild Target,2010,"Action,Comedy,Crime",6.8,33915,8000000.0,109338.0,5314194.0
167,tt1399683,2010 Winter's Bone,2010,"Drama,Mystery",7.2,127751,2000000.0,6531503.0,16131551.0
168,tt1302067,2010 Yogi Bear,2010,"Adventure,Animation,Comedy",4.6,18934,80000000.0,100246011.0,204774690.0
169,tt1414382,2010 You Again,2010,"Comedy,Family,Romance",5.8,46690,20000000.0,25702053.0,32838945.0
170,tt1182350,2010 You Will Meet a Tall Dark Stranger,2010,"Comedy,Drama,Romance",6.3,41608,15000000.0,3247816.0,34247816.0
171,tt1622547,2011 30 Minutes or Less,2011,"Action,Comedy,Crime",6.1,87254,28000000.0,37053924.0,40966716.0
172,tt1486193,2011 5 Days of War,2011,"Action,Drama,War",5.6,13089,12000000.0,17479.0,87793.0
173,tt1306980,2011 50/50,2011,"Comedy,Drama,Romance",7.7,300475,8000000.0,35016118.0,41334735.0
174,tt1554091,2011 A Better Life,2011,"Drama,Romance",7.2,14602,10000000.0,1759252.0,1884251.0
175,tt1571222,2011 A Dangerous Method,2011,"Biography,Drama,Romance",6.4,93259,20000000.0,5702083.0,14807531.0
176,tt1268799,2011 A Very Harold & Kumar 3D Christmas,2011,"Adventure,Comedy",6.3,62151,20000000.0,35061031.0,36265745.0
177,tt1600195,2011 Abduction,2011,"Action,Mystery,Thriller",5.1,72552,35000000.0,28087155.0,86648359.0
178,tt1610996,2011 Absentia,2011,"Drama,Horror,Mystery",5.8,15507,70000.0,0.0,8555.0
179,tt1602098,2011 Albert Nobbs,2011,"Drama,Romance",6.7,22213,7500000.0,3014696.0,8539003.0
180,tt1615918,2011 Alvin and the Chipmunks: Chipwrecked,2011,"Adventure,Animation,Comedy",4.4,28158,80000000.0,133107389.0,349088523.0
181,tt1521197,2011 Anonymous,2011,"Drama,Thriller",6.9,37932,27500000.0,4463292.0,15815509.0
182,tt1549572,2011 Another Earth,2011,"Drama,Romance,Sci-Fi",7.0,85839,175000.0,1321194.0,2102779.0
183,tt1719071,2011 Another Happy Day,2011,"Comedy,Drama",6.0,3793,4000000.0,9120.0,978527.0
184,tt1772240,2011 Apollo 18,2011,"Horror,Mystery,Sci-Fi",5.2,51427,5000000.0,17686929.0,26517819.0
185,tt1334512,2011 Arthur,2011,"Comedy,Romance",5.7,49013,40000000.0,33035397.0,47787943.0
186,tt1430607,2011 Arthur Christmas,2011,"Adventure,Animation,Comedy",7.1,45439,85000000.0,46462469.0,149717124.0
187,tt1478964,2011 Attack the Block,2011,"Action,Comedy,Sci-Fi",6.7,93868,13000000.0,1024175.0,6459183.0
188,tt1284575,2011 Bad Teacher,2011,"Comedy,Romance",5.7,181189,19000000.0,100292856.0,215448997.0
189,tt1152398,2011 Beastly,2011,"Drama,Fantasy,Romance",5.6,72599,17000000.0,27865571.0,38028230.0
190,tt1464174,"2011 Big Mommas: Like Father, Like Son",2011,"Action,Comedy,Crime",4.4,23520,32000000.0,37915414.0,82332450.0
191,tt1629705,2011 Blackthorn,2011,"Action,Adventure,Western",6.6,8553,4500000.0,200558.0,1217307.0
192,tt1478338,2011 Bridesmaids,2011,"Comedy,Romance",6.8,249501,32500000.0,169211718.0,289632023.0
193,tt1411664,2011 Bucky Larson: Born to Be a Star,2011,Comedy,3.3,10648,10000000.0,2529395.0,2529395.0
194,tt0458339,2011 Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",6.9,668137,140000000.0,176654505.0,370569776.0
195,tt1507261,2011 Cargo,2011,Drama,5.2,454,4200000.0,0.0,313230.0
